epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,621.255,0.41404,0.59996,0.68989,0.93064,0.53479,0.82784,0.66882,0.59245,0.53479,0.82784,0.67128,0.61864,0.53721,0.7066,0.95885,1.12226,0.00074675,0.00074675,0.00074675
63,630.198,0.40433,0.51529,0.63937,0.91614,0.58432,0.80405,0.71033,0.6479,0.58432,0.80405,0.71341,0.66175,0.49621,0.77894,1.12637,1.06157,0.0007385,0.0007385,0.0007385
64,639.146,0.40089,0.4793,0.64014,0.9159,0.64827,0.70356,0.7191,0.65639,0.64827,0.70356,0.73317,0.66938,0.52305,0.80179,1.06558,1.09918,0.00073025,0.00073025,0.00073025
65,648.143,0.40855,0.51308,0.67232,0.9141,0.54837,0.69252,0.63283,0.55078,0.54837,0.69252,0.63064,0.57314,0.54275,0.79426,1.22836,1.11754,0.000722,0.000722,0.000722
66,657.107,0.42212,0.56883,0.72,0.91256,0.52021,0.79201,0.64872,0.57211,0.52021,0.79201,0.6474,0.58978,0.50536,0.68267,0.99047,1.10769,0.00071375,0.00071375,0.00071375
67,666.098,0.40431,0.48981,0.63081,0.90653,0.58066,0.70164,0.67045,0.60826,0.58066,0.70164,0.6705,0.63479,0.48562,0.68513,1.09071,1.05631,0.0007055,0.0007055,0.0007055
68,675.087,0.41489,0.52408,0.64996,0.92326,0.6159,0.7004,0.69693,0.61837,0.6159,0.7004,0.69721,0.62796,0.49818,0.65834,1.02027,1.06138,0.00069725,0.00069725,0.00069725
69,684.153,0.41313,0.60771,0.65629,0.92842,0.6478,0.70673,0.68757,0.61609,0.6478,0.70673,0.68757,0.64237,0.44656,0.67214,0.97051,1.04155,0.000689,0.000689,0.000689
70,693.146,0.39481,0.52809,0.63904,0.90491,0.58149,0.70979,0.68792,0.62817,0.58149,0.70979,0.68921,0.63104,0.45893,0.75623,1.01438,1.04442,0.00068075,0.00068075,0.00068075
71,702.52,0.40724,0.55093,0.61954,0.9017,0.50103,0.755,0.66206,0.59196,0.50103,0.755,0.66206,0.60939,0.4762,0.6902,1.13673,1.07506,0.0006725,0.0006725,0.0006725
72,711.81,0.39847,0.48008,0.60579,0.92469,0.50839,0.69648,0.59699,0.53751,0.50839,0.69648,0.59775,0.55027,0.46886,0.67437,1.30195,1.09956,0.00066425,0.00066425,0.00066425
73,721.149,0.37947,0.45136,0.57977,0.89698,0.49802,0.75469,0.60986,0.54544,0.49802,0.75469,0.60986,0.56394,0.48335,0.7306,1.34078,1.07368,0.000656,0.000656,0.000656
74,732.441,0.37051,0.4909,0.56595,0.91346,0.54054,0.89139,0.70452,0.63531,0.54054,0.89139,0.70452,0.65217,0.44909,0.7083,1.09864,1.06029,0.00064775,0.00064775,0.00064775
75,746.989,0.40066,0.50178,0.60146,0.90694,0.61827,0.72501,0.69525,0.62057,0.61827,0.72501,0.69525,0.64175,0.45748,0.72541,1.26578,1.07669,0.0006395,0.0006395,0.0006395
76,755.927,0.38588,0.56371,0.60438,0.90325,0.62021,0.78181,0.71485,0.65314,0.62021,0.78181,0.71437,0.66116,0.43386,0.73179,1.13555,1.04634,0.00063125,0.00063125,0.00063125
77,765.055,0.37679,0.51188,0.58347,0.9076,0.53059,0.77211,0.6178,0.55414,0.53059,0.77211,0.6178,0.56675,0.46475,0.69674,1.32363,1.05331,0.000623,0.000623,0.000623
78,774.037,0.36973,0.46824,0.57556,0.89402,0.53996,0.82816,0.68506,0.62325,0.53584,0.84959,0.68961,0.63723,0.44555,0.63145,1.24044,1.04085,0.00061475,0.00061475,0.00061475
79,782.991,0.37138,0.47851,0.54317,0.90502,0.62359,0.68752,0.68249,0.62743,0.62359,0.68752,0.68249,0.63522,0.4413,0.60448,1.36705,1.04034,0.0006065,0.0006065,0.0006065
