epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2868.94,0.54058,0.64893,0.51239,0.9956,0.78689,0.80894,0.85767,0.75157,0.78689,0.80894,0.85398,0.76812,0.53512,0.67187,0.63095,1.0514,0.000816875,0.000816875,0.000816875
72,2904.55,0.5285,0.64914,0.49229,0.98138,0.76444,0.84139,0.852,0.7459,0.76444,0.84139,0.84843,0.74987,0.52857,0.62385,0.56721,1.06464,0.000810688,0.000810688,0.000810688
73,2940.09,0.51922,0.63167,0.50754,0.98418,0.83178,0.79549,0.87653,0.7761,0.83248,0.79447,0.87381,0.77412,0.51868,0.67503,0.53764,1.05216,0.0008045,0.0008045,0.0008045
74,2975.63,0.52195,0.65174,0.49759,0.97935,0.75581,0.84541,0.84799,0.74982,0.75379,0.84286,0.8439,0.75452,0.51947,0.60678,0.57778,1.05074,0.000798313,0.000798313,0.000798313
75,3011.14,0.52121,0.64075,0.50835,0.98693,0.76833,0.82634,0.85377,0.75963,0.76833,0.82634,0.85036,0.76432,0.50579,0.67331,0.59289,1.04501,0.000792125,0.000792125,0.000792125
76,3046.79,0.5236,0.64821,0.50099,0.99219,0.82757,0.80152,0.85996,0.74604,0.84118,0.79112,0.85565,0.76188,0.5269,0.61617,0.58826,1.05839,0.000785938,0.000785938,0.000785938
77,3082.27,0.52068,0.64981,0.48524,0.98072,0.8338,0.78458,0.8531,0.74842,0.8338,0.78458,0.8508,0.762,0.52486,0.68471,0.5734,1.04166,0.00077975,0.00077975,0.00077975
78,3117.81,0.51981,0.64932,0.47228,0.98074,0.77309,0.80782,0.85302,0.75651,0.77309,0.80782,0.85103,0.75879,0.51878,0.69111,0.60466,1.04454,0.000773563,0.000773563,0.000773563
79,3153.51,0.51943,0.62007,0.48233,0.97935,0.77825,0.81824,0.85861,0.75209,0.77825,0.81824,0.85144,0.75952,0.53183,0.64017,0.58037,1.05912,0.000767375,0.000767375,0.000767375
80,3189.23,0.51502,0.62205,0.4997,0.97771,0.77426,0.80677,0.85683,0.75269,0.77426,0.80677,0.85303,0.75671,0.52327,0.67889,0.60283,1.0538,0.000761188,0.000761188,0.000761188
81,3224.71,0.52795,0.63225,0.47966,0.98122,0.76035,0.86323,0.86456,0.75884,0.76035,0.86323,0.86109,0.77065,0.51983,0.67099,0.56933,1.04773,0.000755,0.000755,0.000755
82,3260.11,0.50302,0.61783,0.46392,0.97104,0.78518,0.81243,0.84823,0.75004,0.78295,0.80988,0.84513,0.76397,0.51162,0.66168,0.60875,1.04523,0.000748813,0.000748813,0.000748813
83,3294.82,0.51004,0.6214,0.45057,0.97353,0.81134,0.80849,0.85155,0.7506,0.81134,0.80849,0.84763,0.75719,0.51946,0.69538,0.61148,1.05008,0.000742625,0.000742625,0.000742625
84,3329.58,0.51807,0.6414,0.47193,0.98274,0.82396,0.82795,0.86501,0.75651,0.82966,0.81701,0.85962,0.7627,0.534,0.69515,0.57271,1.07,0.000736438,0.000736438,0.000736438
85,3364.23,0.51743,0.63348,0.47931,0.98714,0.82857,0.81896,0.87653,0.7759,0.82857,0.81896,0.87137,0.77799,0.5304,0.57851,0.56837,1.06039,0.00073025,0.00073025,0.00073025
86,3404.94,0.51161,0.65811,0.47472,0.97578,0.801,0.81838,0.85665,0.74317,0.801,0.81838,0.85424,0.75764,0.55705,0.65721,0.62209,1.08697,0.000724062,0.000724062,0.000724062
87,3439.57,0.49535,0.60799,0.45372,0.96867,0.82162,0.80992,0.87918,0.77449,0.82162,0.80992,0.87346,0.78255,0.52305,0.58622,0.53954,1.05167,0.000717875,0.000717875,0.000717875
88,3474.16,0.51837,0.65509,0.47015,0.98781,0.84625,0.79355,0.87217,0.75798,0.84625,0.79355,0.86671,0.77414,0.53853,0.59086,0.57205,1.06127,0.000711687,0.000711687,0.000711687
89,3508.67,0.49822,0.62467,0.46079,0.96385,0.84855,0.77404,0.85655,0.74331,0.84211,0.76936,0.85106,0.76265,0.54098,0.66024,0.63992,1.05313,0.0007055,0.0007055,0.0007055
90,3543.1,0.50275,0.63896,0.45765,0.9704,0.80544,0.78817,0.85496,0.74411,0.80544,0.78817,0.85237,0.76373,0.54767,0.59446,0.60334,1.0806,0.000699312,0.000699312,0.000699312
91,3577.6,0.5023,0.59403,0.44474,0.97693,0.80173,0.82379,0.85201,0.74686,0.80173,0.82379,0.84811,0.74971,0.53304,0.64257,0.6408,1.05789,0.000693125,0.000693125,0.000693125
92,3611.98,0.496,0.61115,0.44161,0.96612,0.83276,0.78528,0.87505,0.76697,0.82789,0.78056,0.86823,0.76974,0.53218,0.65103,0.57054,1.05577,0.000686937,0.000686937,0.000686937
93,3647.78,0.48409,0.58916,0.43458,0.95852,0.81549,0.81483,0.86496,0.75621,0.81549,0.81483,0.86024,0.76746,0.52775,0.66545,0.54537,1.05505,0.00068075,0.00068075,0.00068075
94,3684.03,0.48861,0.59459,0.4368,0.96645,0.75012,0.87444,0.85918,0.75658,0.75111,0.87206,0.85581,0.75997,0.51952,0.67769,0.56044,1.05714,0.000674562,0.000674562,0.000674562
95,3719.88,0.47847,0.58962,0.42631,0.95678,0.78605,0.84734,0.86711,0.76179,0.78605,0.84734,0.86332,0.76705,0.52413,0.64534,0.57345,1.05645,0.000668375,0.000668375,0.000668375
96,3755.87,0.48114,0.59606,0.44716,0.96454,0.84764,0.80295,0.8747,0.77036,0.84764,0.80295,0.87025,0.77613,0.51881,0.59731,0.56011,1.05597,0.000662188,0.000662188,0.000662188
